Time  225 :  Santa Nick  giving to children: dinosaur girl
Time  226 :  Santa Nick  giving to children: doll girl
Time  226 :  Santa Nick  giving to children: doll girl
Time: 227 :  Santa Nick  Walking to toy department
Time  227 :  Santa Nick  retrieving from sleigh: dinosaur girl
Time  227 :  Santa Nick  retrieving from sleigh: train girl
Time  228 :  Santa Nick  retrieving from sleigh: fake tattoo girl
Time  228 :  Santa Nick  retrieving from sleigh: whistle girl
Time  229 :  Santa Nick  retrieving from sleigh: bracelet girl
Time  229 :  Santa Nick  retrieving from sleigh: doll girl
Time  229 :  Santa Nick  retrieving from sleigh: whistle boy
Time  229 :  Santa Nick  retrieving from sleigh: doll boy
Time  229 :  Santa Nick  retrieving from sleigh: doll boy
Time  230 :  Santa Nick  retrieving from sleigh: dinosaur boy
Time  231 :  Santa Nick  Walking back to grotto
Time  232 :  Santa Nick  giving to children: dinosaur girl
Time  232 :  Santa Nick  giving to children: train girl
Time  232 :  Santa Nick  giving to children: fake tattoo girl
Time  233 :  Santa Nick  giving to children: whistle girl
Time  234 :  Santa Nick  giving to children: bracelet girl
Time  235 :  Santa Nick  giving to children: doll girl
Time  235 :  Santa Nick  giving to children: whistle boy
Time  236 :  Santa Nick  giving to children: doll boy
Time  236 :  Santa Nick  giving to children: doll boy
Time  237 :  Santa Nick  giving to children: dinosaur boy
Time: 238 :  Santa Nick  Walking to toy department
